ID,Gene,Variation,Class
192,EGFR,n826y,2
3009,KIT,v560g,7
1259,PIK3R1,k379e,4
3046,KIT,y570h,2
581,SMAD4,r378a,1
1203,PIK3CA,a1020v,5
1859,MTOR,l2427r,7
820,ERCC2,v242f,1
2032,MAP2K2,s226d,6
3177,HNF1A,truncating mutations,1
3173,RAF1,s259a,7
166,EGFR,e746_a750del,7
3311,RUNX1,runx1-evi1 fusion,4
2016,MAP2K1,v60e,2
2688,BRAF,l485_p490delinsf,2
2443,BRCA1,i1807s,1
1097,AXIN1,truncating mutations,1
3250,NSD1,nsd1-nup98 fusion,2
3043,KIT,y823d,7
585,SMAD4,truncating mutations,1
1425,FGFR3,k650m,2
1413,FGFR3,h643d,5
2422,BRCA1,g1803a,1
501,TP53,s241y,4
484,TP53,r158l,4
858,ABL1,v289f,2
2794,BRCA2,t582p,6
1170,PIK3CA,m1043i,7
1935,CARD11,f123i,7
82,RIT1,a77s,7
683,CDKN2A,d84n,4
2959,MGA,truncating mutations,1
3244,DDR2,g505s,7
2118,CCND1,d289del,7
149,EGFR,k745_a750del,7
1015,TSC2,truncating mutations,1
2614,BRCA1,m1r,1
2503,BRCA1,r866c,5
1199,PIK3CA,p449_l455del,7
1904,SMARCA4,r1189*,4
3032,KIT,n822i,7
2398,NF1,t1324n,4
2736,BRAF,t529n,5
3191,NRAS,g60e,7
2535,BRCA1,r1589p,5
10,CBL,p395a,4
1314,MLH1,r755s,1
559,SMAD3,deletion,1
2008,MAP2K1,q58_e62del,7
2773,BRAF,g464e,5
1392,FGFR3,g382d,2
2895,BRCA2,m2676t,6
1699,PMS2,s46i,4
1798,AR,q120e,5
224,EGFR,g719d,2
3071,NOTCH1,l1600p,7
2281,CIC,truncating mutations,1
784,ERBB4,ezr-erbb4 fusion,7
120,PBRM1,n1333gfs*,4
2470,BRCA1,s1715c,1
568,SMAD3,w406a,1
2482,BRCA1,l1705p,1
14,CBL,p428l,5
1702,PMS2,t485k,5
946,PDGFRB,r561c,6
3033,KIT,p838l,2
570,SMAD3,r268a,4
2402,NF1,s1463f,4
255,EGFR,e884k,7
852,ABL1,h396p,2
1684,FLT3,y599_d600inseyeyeyey,7
994,TSC1,h68r,1
3213,RB1,deletion,1
2600,BRCA1,d1739e,1
1339,KMT2A,fusions,2
1427,FGFR3,g370c,7
601,SMAD4,r496h,4
2073,TET2,r1896m,1
1818,RHOA,y42c,4
834,ERCC4,l230p,4
1705,SRSF2,p95h,4
1813,RHOA,e40q,2
285,EIF1AX,a113_splice,7
844,ABL1,e281k,2
3140,KRAS,q61l,7
690,CDKN2A,r87p,4
2059,MYCN,amplification,7
1142,MET,m1250t,7
1544,ALK,v1180l,7
522,TP53,k120m,4
490,TP53,k292i,2
2277,BCOR,fusions,8
36,DICER1,g1809k,4
1238,PIK3CD,e525k,7
643,CDKN2A,p114l,4
623,FBXW7,r658q,1
405,TP53,c242f,1
2771,BRAF,t599r,7
2338,JAK2,v1075f,6
2887,BRCA2,p375s,6
1772,XPO1,e571k,2
1401,FGFR3,y647c,2
2483,BRCA1,h1686r,1
756,ERBB2,d769a,4
3116,KRAS,g13e,2
2488,BRCA1,w1782c,5
1049,TSC2,s1498n,1
1751,IDH1,r132c,9
2587,BRCA1,s186y,3
1930,SMO,v414a,2
2662,BRCA1,l668f,5
1061,EWSR1,fusions,2
2331,JAK2,n542_e543del,7
2800,BRCA2,r3052w,1
797,ERBB4,g936r,6
1723,APC,i1307k,1
2970,KIT,k550_k558del,7
461,TP53,k292t,1
3088,NOTCH1,sec16a1-notch1 fusion,7
2400,NF1,v1398d,4
1586,CARM1,s217a,1
1972,CTNNB1,s45y,7
2151,PTEN,l112r,4
1453,FGFR2,e731k,7
2373,PTPN11,e76k,7
2341,JAK2,y1045w,6
2407,NF1,r1204w,4
2626,BRCA1,d1692n,5
1072,FOXA1,l388m,1
1675,FLT3,f594_r595inssdneyfyvdf,7
3059,FGF19,amplification,2
2590,BRCA1,l28p,6
3249,NSD1,fusions,2
1826,NCOR1,truncating mutations,1
3200,RASA1,truncating mutations,1
1703,PMS2,e541k,5
2246,PTEN,t160i,4
2909,NF2,l64p,1
696,CDKN2B,hypermethylation,4
439,TP53,n239s,4
767,ERBB2,d845a,4
2602,BRCA1,m1008i,5
63,PTPRT,q984k,4
1444,SPOP,f133l,4
1724,APC,n1026s,4
1402,FGFR3,k650q,2
618,FBXW7,s462y,5
1614,VHL,h191d,4
896,PDGFRA,v561a,2
1077,FOXA1,amplification,7
1488,FGFR2,c382r,7
2135,KEAP1,r272c,4
866,ERG,fus-erg fusion,7
3025,KIT,exon 9 mutations,7
2318,JAK2,l611v,2
1977,CTNNB1,s37a,7
2283,CIC,fusions,1
1216,PIK3CA,e545g,7
2148,PTEN,d92g,4
2025,MAP2K1,k57e,7
3020,KIT,v559g,7
669,CDKN2A,r99p,4
900,PDGFRA,s566_e571delinsr,7
1563,ALK,v597a,7
2564,BRCA1,t1852s,6
1571,ALK,i1170n,7
1582,MPL,p106l,2
1715,POLE,p286h,4
1232,PIM1,h68y,2
440,TP53,l348s,1
2918,NFE2L2,w24c,7
1480,FGFR2,e636k,6
3006,KIT,q556_k558del,2
292,CHEK2,k373e,4
1778,CREBBP,r1446c,1
966,ESR1,s463p,2
2992,KIT,p551_v555del,7
1180,PIK3CA,e116k,5
254,EGFR,w731l,7
614,CDK6,amplification,7
1204,PIK3CA,g914r,2
2737,BRAF,g466a,7
1889,MTOR,p2476l,3
1266,PIK3R1,r262t,1
299,PAK1,amplification,7
239,EGFR,s768_v769insvas,7
2791,BRCA2,n1878k,6
1273,PIK3R2,d557h,1
1575,SDHB,s100f,4
3310,RUNX1,amplification,7
902,PDGFRA,n659r,7
2056,MYC,igh-myc fusion,7
3146,KRAS,d153v,7
2738,BRAF,k483m,2
2199,PTEN,k125m,4
483,TP53,v173l,4
2989,KIT,p577_w582delinspyd,2
681,CDKN2A,r87l,4
1292,HRAS,g13c,2
1833,PPP2R1A,s256f,1
1038,TSC2,w1610g,1
2829,BRCA2,p655r,6
33,TERT,amplification,2
1714,POLE,v411l,4
2346,JAK2,r683g,7
333,ROS1,tfg-ros1 fusion,2
1645,FLT3,f590g,7
2080,TET2,n1387a,1
76,CCND3,p284l,2
135,SF3B1,k700e,9
318,ROS1,s1986y,2
3171,RAF1,p261l,2
647,CDKN2A,d84g,4
2806,BRCA2,g1194d,6
1726,APC,r640g,4
526,TP53,h214n,1
1620,VHL,p25l,5
1164,PIK3CA,r38h,7
332,ROS1,sdc4-ros1 fusion,7
561,SMAD3,y238a,1
1508,ALK,l1122v,7
996,TSC1,t417i,3
987,ETV6,etv6-flt3 fusion,7
1195,PIK3CA,h1047r,7
2376,PTPN11,r498l,6
27,TERT,y846c,4
2556,BRCA1,w1837r,4
2018,MAP2K1,e120q,5
2384,PTPN11,p491s,2
1253,PIK3R1,w237_y242del,1
1399,FGFR3,n540s,7
408,TP53,m237k,1
2101,CDK12,g909r,4
667,CDKN2A,n71k,4
65,PTPRT,k218t,1
2026,MAP2K1,n382h,5
2758,BRAF,g469e,2
615,FBXW7,r465h,4
877,PDGFRA,n870s,3
2945,KDR,t771r,6
2616,BRCA1,p1771l,5
2119,CCND1,d289_d292del,2
3084,NOTCH1,p2412t,2
3147,KRAS,g12a,7
3093,NOTCH1,mir143-notch1 fusion,2
1970,CTNNB1,s33y,7
2336,JAK2,s1039f,6
2123,CCND1,256_286trunc,7
415,TP53,l330r,1
2367,JUN,amplification,7
3074,NOTCH1,i1680n,7
2725,BRAF,papss1-braf fusion,7
3089,NOTCH1,g2430a,7
3185,RARA,r276w,6
342,CDH1,r732q,1
531,TP53,g266e,1
970,ESR1,l536q,7
1844,IGF1R,g1125a,1
3280,RET,a919v,2
34,TERT,c250t,7
2785,BRCA2,k2729n,5
454,TP53,e285v,4
1740,MSH2,g751r,4
96,TGFBR1,tgfbr1*6a,4
513,TP53,r283q,1
521,TP53,e286k,4
2132,KEAP1,d422n,4
2604,BRCA1,e1214k,5
442,TP53,h179l,4
2062,SOX9,truncating mutations,1
1510,ALK,npm-alk fusion,7
821,ERCC2,r601q,1
2839,BRCA2,d2723h,1
1808,ARAF,g322s,7
1697,PMS2,i668v,4
2526,BRCA1,p1812s,6
2317,JAK1,k648n,7
2239,PTEN,l108p,4
3014,KIT,n463s,2
2485,BRCA1,m1783t,6
2641,BRCA1,e1644g,5
1918,SMO,d473h,2
2357,STK11,w308c,4
486,TP53,r175l,4
2203,PTEN,a126v,4
2763,BRAF,k601e,7
2789,BRCA2,a2643g,5
1965,CTNNB1,s33f,2
1345,AKT1,l362r,3
152,EGFR,egfrvii,7
1008,TSC1,r1097h,3
2036,MAP2K2,l46f,7
1653,FLT3,i836del,7
1393,FGFR3,a500t,5
1047,TSC2,l146r,1
1516,ALK,e1384k,7
1720,KNSTRN,a40e,1
684,CDKN2A,p114s,4
2999,KIT,k509i,7
890,PDGFRA,h650q,7
492,TP53,r248l,1
3268,RET,e921k,4
456,TP53,r158h,4
294,CHEK2,e161del,4
1116,FANCA,l210r,4
1258,PIK3R1,d560y,4
1478,FGFR2,m535i,7
983,ETV6,fusions,2
961,KDM5C,m1_e165del,4
1556,ALK,d1270g,3
3139,KRAS,g12r,7
1750,IDH1,y139d,7
831,ERCC4,r689s,4
3252,CASP8,truncating mutations,1
1982,CTNNB1,s45f,7
137,LATS2,deletion,4
2177,PTEN,f347l,4
1362,AKT1,k189n,7
1531,ALK,s1206y,7
3098,RAC1,c157y,7
1041,TSC2,l792r,4
1548,ALK,p1139s,7
1953,ATM,e1978*,1
1709,POLE,s297f,1
2114,GATA3,truncating mutations,1
487,TP53,p47s,3
2902,NF2,l46r,1
114,MSH6,f1088sfs*2,4
1527,ALK,c1156f,7
1627,VHL,deletion,1
1308,MLH1,g101s,1
1021,TSC2,t1203k,4
608,SMAD4,h132y,1
481,TP53,a161s,4
1190,PIK3CA,q546k,7
1499,FGFR2,k659e,2
2160,PTEN,t401i,4
760,ERBB2,r143q,5
1823,RHOA,y34c,2
2031,MAP2K1,d67n,7
1045,TSC2,l826p,1
603,SMAD4,c324y,1
925,PDGFRA,bcr-pdgfra fusion,7
2784,BRCA2,r2418g,6
2513,BRCA1,s1841a,1
953,PDGFRB,v665a,4
2882,BRCA2,d2723g,1
2975,KIT,c809g,2
1630,MAP2K4,r154w,4
2237,PTEN,d252g,4
758,ERBB2,g776delinslc,7
2629,BRCA1,e143k,5
482,TP53,g334r,3
918,PDGFRA,n659s,7
3212,RB1,truncating mutations,1
3034,KIT,d60n,7
1014,TSC2,h1620r,4
1037,TSC2,a889p,4
257,EGFR,g719c,2
675,CDKN2A,a36p,4
1836,PPP2R1A,r183g,1
2255,PTEN,k128t,4
1395,FGFR3,d617g,1
2873,BRCA2,n987i,6
363,EPAS1,a530v,2
1868,MTOR,t1977k,7
3051,KIT,v654a,7
1664,FLT3,f691l,7
2307,JAK1,v658f,7
209,EGFR,s645c,2
1735,MSH2,q395*,4
2067,SOX9,p70r,1
2885,BRCA2,g2274v,6
2112,SRC,q531*,7
1237,PIM1,p123m,5
2187,PTEN,g165e,4
1957,ATM,d2870a,4
2410,FOXL2,c134w,4
1765,IDH1,e190k,5
1683,FLT3,d835y,7
3028,KIT,n505i,7
2437,BRCA1,d96n,6
1756,IDH1,r132q,8
714,ERBB2,s1002r,6
455,TP53,i255f,1
399,TP53,s240r,1
2264,PTEN,h61r,4
1083,EZH2,y646h,9
505,TP53,r267p,2
3217,NTRK1,r342w,7
1619,VHL,e70k,1
3083,NOTCH1,v1676d,7
336,ROS1,cd74-ros1 fusion,7
291,ERRFI1,deletion,1
1598,VHL,h115r,4
1458,FGFR2,fgfr2-mgea5 fusion,2
1307,MLH1,r659p,6
815,ERCC2,l461v,1
974,ESR1,l536r,7
2071,TET2,y1295a,5
2703,BRAF,trim24-braf fusion,7
1646,FLT3,t167a,3
124,SF3B1,h662q,9
2324,JAK2,w1038c,6
1847,PPP6C,s270l,4
2894,BRCA2,s2670l,5
2086,AGO2,r647a,1
1759,IDH1,v294m,5
1770,IDH2,r172m,8
12,CBL,r420q,4
2976,KIT,p551_e554del,7
1649,FLT3,f594l,7
1558,ALK,n1178h,7
1301,MLH1,r265s,1
2693,BRAF,a246p,7
219,EGFR,l747s,2
1359,AKT1,d32y,5
1263,PIK3R1,k288q,1
1678,FLT3,v579a,7
3065,NOTCH1,i1616n,7
414,TP53,h214r,1
1644,FLT3,d835a,7
46,PTPRT,t844m,4
1807,ARAF,s214c,7
2396,NF1,r1391s,4
295,CHEK2,p85l,3
2347,JAK2,i1018w,6
237,EGFR,e866k,4
810,ERCC2,d609e,1
2920,NFE2L2,t80k,7
1542,ALK,f1245v,7
1504,KDM6A,deletion,1
1188,PIK3CA,e365k,7
712,ERBB2,c630y,6
171,EGFR,a859_l883delinsv,2
389,TP53,s121a,2
2147,PTCH1,r571w,5
2201,PTEN,d92a,4
1899,MTOR,c1483r,7
965,ESR1,l469v,7
2063,SOX9,k398a,7
1159,FAT1,a4419s,1
2079,TET2,m1293a,6
3299,RUNX1,r139g,4
2266,PTEN,d92v,4
3161,NPM1,deletion,1
719,ERBB2,g776s,7
774,ERBB3,g284r,7
1166,PIK3CA,g106d,2
1603,VHL,a149p,1
1451,FGFR2,r251q,1
2072,TET2,h1904r,1
3210,RB1,s567l,1
1766,IDH2,r140q,9
1685,FLT3,d839g,7
2504,BRCA1,v11a,6
3054,KIT,v555_l576del,7
2645,BRCA1,s1164i,1
251,EGFR,l833v,7
132,SF3B1,r625g,9
2003,MAP2K1,e102_i103del,7
592,SMAD4,v465m,6
2392,PTPN11,y62c,7
345,CDH1,d254n,4
2136,KEAP1,g430c,4
922,PDGFRA,strn-pdgfra fusion,7
595,SMAD4,r100t,4
2500,BRCA1,n810y,5
2700,BRAF,e501g,5
3265,RET,c611y,7
1625,VHL,s65a,1
1115,FANCA,w183a,4
3085,NOTCH1,q2405rfs*17,2
55,PTPRT,l708p,1
3138,KRAS,k147e,7
2898,BRCA2,g1529r,6
1573,ALK,i1170s,7
2248,PTEN,a39p,4
2603,BRCA1,e1282v,5
164,EGFR,egfr-rad51 fusion,7
35,DICER1,g1809r,4
21,CBL,c396r,4
2539,BRCA1,c1767s,5
939,PDGFRB,prkg2-pdgfrb fusion,2
315,ROS1,s1986f,2
1927,SMO,w535l,7
2365,STK11,k78i,4
2675,BRCA1,e1346k,5
777,ERBB3,t389k,7
1657,FLT3,n676d,2
37,DICER1,d1709e,1
3220,NTRK1,nfasc-ntrk1 fusion,7
620,FBXW7,d520n,1
636,CDKN1A,truncating mutations,1
3000,KIT,w557g,2
448,TP53,g245s,4
31,TERT,promoter mutations,7
1693,PMS2,g207e,1
1157,KMT2C,deletion,1
1470,FGFR2,fgfr2?pphln1 fusion,7
227,EGFR,s784f,7
1988,CTNNB1,s23r,7
2111,B2M,truncating mutations,1
348,CDH1,t340a,4
500,TP53,e258v,1
1066,EWSR1,ewsr1-atf1 fusion,2
2841,BRCA2,l929s,6
205,EGFR,l858q,2
2399,NF1,l1301r,4
247,EGFR,p753s,2
2726,BRAF,d594g,2
1493,FGFR2,k641r,7
543,SMAD2,t413n,1
2389,PTPN11,y63c,7
2919,NFE2L2,g81d,7
789,ERBB4,y285c,7
148,EGFR,g724s,7
2133,KEAP1,deletion,1
2015,MAP2K1,p124q,7
433,TP53,r280k,4
388,TP53,r248w,4
2754,BRAF,v600k,7
2371,PTPN11,t507k,7
2362,STK11,truncating mutations,1
321,ROS1,ros1-cd74 fusion,7
3222,NTRK1,r342q,7
2705,BRAF,n581s,2
671,CDKN2A,g23d,4
3102,RAC1,amplification,7
941,PDGFRB,atf7ip-pdgfrb fusion,2
2714,BRAF,t488_p492del,2
1125,MET,y1230c,7
1780,CREBBP,w1502a,4
2697,BRAF,t529m,5
502,TP53,c238f,4
72,RAD50,l234fs,1
1181,PIK3CA,v344g,6
2313,JAK1,l910p,7
232,EGFR,l747_p753del,7
840,ABL1,m244v,2
329,ROS1,msn-ros1 fusion,2
60,PTPRT,r453c,1
1719,KNSTRN,r11k,1
582,SMAD4,r441p,5
2729,BRAF,k601q,7
519,TP53,r273g,1
15,CBL,d390y,4
649,CDKN2A,v126d,4
498,TP53,p278l,4
3002,KIT,a504_y505ins,2
3281,RET,c634w,2
173,EGFR,e804g,7
1102,BAP1,truncating mutations,1
2047,SOS1,r552g,7
673,CDKN2A,g35a,4
78,CCND3,t286a,7
1814,RHOA,l57v,4
1773,XRCC2,deletion,1
1570,ALK,h694r,7
3010,KIT,d814v,7
2038,MAP2K2,c125s,7
722,ERBB2,l785f,6
674,CDKN2A,h83y,4
2727,BRAF,r462i,3
2339,JAK2,t875n,7
1845,PPP6C,h114y,4
864,ERG,tmprss2-erg fusion,7
3255,CASP8,c248t,3
2575,BRCA1,p1637l,5
264,EGFR,e868g,7
150,EGFR,egfrviii,7
133,SF3B1,k666n,9
876,PDGFRA,kdr-pdgfra fusion,7
1222,PIK3CB,acpp-pik3cb fusion,2
786,ERBB4,e563k,7
3021,KIT,d816g,7
1566,ALK,i1183t,3
2928,NFE2L2,g31r,7
1498,FGFR2,v564i,7
583,SMAD4,r361c,4
2217,PTEN,k125l,4
3079,NOTCH1,l1678p,7
2247,PTEN,r130a,4
1268,PIK3R1,e439del,4
7,CBL,deletion,1
700,CDKN2B,a23e,4
2232,PTEN,v369g,3
2581,BRCA1,v1688del,1
1363,AKT1,n53a,7
606,SMAD4,a532h,4
1347,AKT1,r370c,2
2680,BRCA1,m18k,6
1652,FLT3,d835del,7
1643,FLT3,y599_d600insglyvdfreyey,7
1257,PIK3R1,x582_splice,1
3072,NOTCH1,q2416*,2
1604,VHL,l188q,4
1865,MTOR,r2505q,3
2870,BRCA2,v2969m,6
1022,TSC2,v1673f,1
1986,CTNNB1,p44a,7
2014,MAP2K1,i111n,6
229,EGFR,i744_k745delinskipvai,7
1578,VEGFA,amplification,7
1616,VHL,l118r,1
1420,FGFR3,g697c,5
302,TMPRSS2,tmprss2-etv4 fusion,2
2050,SOS1,n233y,7
1018,TSC2,t1623i,4
2775,BRCA2,r2336p,1
1168,PIK3CA,r88q,7
1552,ALK,l1196q,7
1264,PIK3R1,r162*,1
2724,BRAF,l597r,2
3179,AKT3,magi3-akt3 fusion,7
352,EP300,fusions,2
3159,KRAS,q22e,7
1087,EZH2,overexpression,7
2409,NF1,r1204g,4
1423,FGFR3,s249c,7
2465,BRCA1,t1691i,1
679,CDKN2A,g101w,4
2303,JAK1,k1026e,7
3262,RET,s891a,7
2424,BRCA1,g1743r,1
1706,WHSC1,e1099k,7
2723,BRAF,g464r,7
1434,SPOP,d140g,4
1082,EZH2,y646f,9
3194,NRAS,q61h,7
2623,BRCA1,a1789t,4
1354,AKT1,q79k,7
534,SMAD2,r321q,4
1608,VHL,l158p,4
3180,AKT3,e17k,7
2567,BRCA1,t1685a,1
1946,MEF2B,n81y,4
1530,ALK,f1174l,7
3232,NTRK2,fusions,2
794,ERBB4,n181s,3
2971,KIT,p577_d579del,2
1592,VHL,s68w,4
1853,CTCF,deletion,1
1129,MET,x963_splice,7
2534,BRCA1,h41r,4
1901,TET1,mll-tet1 fusion,7
314,ELF3,k320e,5
2097,CDK12,r882l,4
2702,BRAF,t529i,5
2823,BRCA2,n372h,5
1656,FLT3,w603_e604insdreyeydlkw,7
917,PDGFRA,l507p,5
3209,RB1,n480del,5
1482,FGFR2,fgfr2-kiaa1967 fusion,2
1731,MSH2,deletion,1
871,PDGFRA,c450_k451insmiewmi,7
2327,JAK2,bcr-jak2 fusion,7
1840,SETD2,truncating mutations,1
2528,BRCA1,n550h,5
3260,RET,t338i,5
2647,BRCA1,s1301r,5
1394,FGFR3,k650e,7
2921,NFE2L2,v32g,7
2168,PTEN,r15s,7
3127,KRAS,n116h,6
1289,HRAS,k117n,2
3017,KIT,v560d,7
328,ROS1,l1951r,6
2812,BRCA2,f1524v,6
176,EGFR,g796s,7
1069,ACVR1,g328e,2
609,CDK4,amplification,7
1799,AR,f877l,7
2035,MAP2K2,k101m,6
2423,BRCA1,a1830t,5
1221,PIK3CB,e552k,7
1962,MAPK1,e322k,7
2521,BRCA1,i15t,6
